,negative,positive,neutral
aback,0,0,1
abacus,0,0,1
abandon,1,0,0
abandoned,1,0,0
abandonment,1,0,0
abate,0,0,1
abatement,0,0,1
abba,0,1,0
abbot,0,0,1
abbreviate,0,0,1
abbreviation,0,0,1
abdomen,0,0,1
abdominal,0,0,1
abduction,1,0,0
aberrant,1,0,0
aberration,1,0,0
abeyance,0,0,1
abhor,1,0,0
abhorrent,1,0,0
abide,0,0,1
ability,0,1,0
abject,1,0,0
ablation,0,0,1
ablaze,0,0,1
abnormal,1,0,0
aboard,0,0,1
abode,0,0,1
abolish,1,0,0
abolition,1,0,0
abominable,1,0,0
abomination,1,0,0
aboriginal,0,0,1
abort,1,0,0
abortion,1,0,0
abortive,1,0,0
abound,0,0,1
abovementioned,0,1,0
abrasion,1,0,0
abroad,0,0,1
abrogate,1,0,0
abrupt,0,0,1
abruptly,0,0,1
abscess,1,0,0
absence,1,0,0
absent,1,0,0
absentee,1,0,0
absenteeism,1,0,0
absinthe,0,0,1
absolute,0,1,0
absolution,0,1,0
absorbed,0,1,0
absorbent,0,0,1
absorbing,0,0,1
absorption,0,0,1
abstain,0,0,1
abstention,0,0,1
abstinence,0,0,1
abstract,0,0,1
abstraction,0,0,1
absurd,1,0,0
absurdity,1,0,0
abundance,1,1,0
abundant,0,1,0
abuse,1,0,0
abutment,0,0,1
aby,0,0,1
abysmal,1,0,0
abyss,1,0,0
academic,0,1,0
academy,0,1,0
accede,0,0,1
accelerate,0,0,1
acceleration,0,0,1
accent,0,0,1
accentuate,0,0,1
accept,0,0,1
acceptable,0,1,0
acceptance,0,1,0
access,0,0,1
accessible,0,1,0
accession,0,0,1
accessory,0,0,1
accident,1,0,0
accidental,1,0,0
accidentally,0,0,1
accolade,0,1,0
accommodate,0,0,1
accommodation,0,1,0
accompaniment,0,1,0
accompany,0,0,1
accompanying,0,0,1
accomplice,0,0,1
accomplish,0,1,0
accomplished,0,1,0
accomplishment,0,1,0
accord,0,1,0
accordance,0,0,1
accordion,0,0,1
account,0,0,1
accountability,0,1,0
accountable,0,1,0
accountant,0,0,1
accounting,0,0,1
accounts,0,0,1
accredited,0,1,0
accretion,0,0,1
accrue,0,0,1
accueil,0,1,0
accumulate,0,0,1
accumulation,0,0,1
accuracy,0,0,1
accurate,0,1,0
accursed,1,0,0
accusation,1,0,0
accusative,1,0,0
accused,1,0,0
accuser,1,0,0
accusing,1,0,0
accustomed,0,0,1
ace,0,1,0
acetic,0,0,1
ache,1,0,0
achieve,0,1,0
achievement,0,1,0
aching,1,0,0
acid,1,0,0
acidity,0,0,1
acknowledge,0,0,1
acknowledged,0,0,1
acknowledgment,0,1,0
acme,0,0,1
acoustic,0,0,1
acoustics,0,0,1
acquaint,0,0,1
acquaintance,0,0,1
acquainted,0,0,1
acquiescence,0,0,1
acquire,0,1,0
acquiring,0,1,0
acquisition,0,0,1
acquisitions,0,0,1
acreage,0,0,1
acres,0,0,1
acrobat,0,1,0
act,0,0,1
acting,0,0,1
action,0,1,0
actionable,1,0,0
active,0,0,1
activity,0,0,1
actor,0,0,1
actual,0,1,0
actuality,0,0,1
actuary,0,0,1
acuity,0,1,0
acumen,0,1,0
acupuncture,0,0,1
acutely,0,0,1
adage,0,0,1
adamant,0,0,1
adapt,0,1,0
adaptable,0,1,0
add,0,0,1
added,0,0,1
addendum,0,0,1
adder,1,0,0
addiction,1,0,0
addition,0,0,1
additional,0,0,1
additive,0,0,1
address,0,0,1
addressee,0,0,1
addresses,0,1,0
adept,0,1,0
adequacy,0,1,0
adequate,0,0,1
adhere,0,0,1
adherence,0,0,1
adherent,0,0,1
adhering,0,0,1
adhesion,0,0,1
adhesive,0,0,1
adieu,0,0,1
adipose,1,0,0
adjacency,0,0,1
adjacent,0,0,1
adjective,0,0,1
adjoining,0,0,1
adjourn,0,0,1
adjournment,0,0,1
adjudicate,1,0,0
adjudication,0,0,1
adjunct,0,1,0
adjust,0,0,1
adjustment,0,0,1
adjuvant,0,0,1
administer,0,0,1
administration,0,0,1
administrative,0,0,1
admirable,0,1,0
admiral,0,1,0
admiralty,0,0,1
admiration,0,1,0
admire,0,1,0
admirer,0,1,0
admissibility,0,0,1
admissible,0,1,0
admission,0,0,1
admit,0,0,1
admittance,0,0,1
admitted,0,0,1
admitting,0,0,1
admixture,0,0,1
admonition,1,0,0
ado,0,0,1
adobe,0,0,1
adolescence,0,0,1
adolescent,0,0,1
adopt,0,0,1
adoption,0,0,1
adorable,0,1,0
adoration,0,1,0
adore,0,1,0
adorn,0,0,1
adornment,0,0,1
adrift,1,0,0
adult,0,0,1
adulterated,1,0,0
adultery,1,0,0
advance,0,1,0
advanced,0,1,0
advancement,0,1,0
advancing,0,0,1
advantage,0,1,0
advantageous,0,1,0
advent,0,1,0
adventure,0,1,0
adventurer,0,0,1
adventurous,0,1,0
adversary,1,0,0
adverse,1,0,0
adversity,1,0,0
advertise,0,0,1
advertisement,0,0,1
advice,0,0,1
advisable,0,1,0
advise,0,1,0
advised,0,0,1
advisement,0,0,1
adviser,0,1,0
advocacy,0,1,0
advocate,0,0,1
aegis,0,0,1
aeration,0,0,1
aerial,0,0,1
aerodrome,0,0,1
aerodynamics,0,0,1
aeronautics,0,0,1
aeroplane,0,0,1
aesthetic,0,1,0
aesthetics,0,1,0
aetiology,0,0,1
afar,0,0,1
affable,0,1,0
affair,0,0,1
affecting,0,0,1
affection,0,1,0
affections,0,0,1
affiche,0,0,1
affidavit,0,0,1
affiliated,0,1,0
affiliation,0,0,1
affinity,0,0,1
affirm,0,1,0
affirmation,0,1,0
affirmative,0,1,0
affirmatively,0,1,0
affix,0,0,1
afflict,1,0,0
afflicted,1,0,0
affliction,1,0,0
affluence,0,1,0
affluent,0,1,0
afford,0,1,0
affront,1,0,0
afield,0,0,1
afore,0,0,1
aforementioned,0,0,1
aforesaid,0,0,1
afraid,1,0,0
afresh,0,0,1
aft,0,0,1
aftermath,1,0,0
afternoon,0,0,1
aftertaste,1,0,0
afterthought,0,0,1
aga,0,1,0
agate,0,0,1
age,0,0,1
aged,0,0,1
agency,0,0,1
agent,0,0,1
agglomeration,0,0,1
aggravated,1,0,0
aggravating,1,0,0
aggravation,1,0,0
aggregate,0,0,1
aggregation,0,0,1
aggression,1,0,0
aggressive,1,0,0
aggressor,1,0,0
aghast,1,0,0
agile,0,1,0
agility,0,1,0
agitated,1,0,0
agitation,1,0,0
agnostic,0,0,1
ago,0,0,1
agonizing,1,0,0
agony,1,0,0
agree,0,1,0
agreeable,0,1,0
agreed,0,1,0
agreeing,0,1,0
agreement,0,1,0
agricultural,0,0,1
agriculture,0,1,0
aground,1,0,0
agua,0,0,1
ahead,0,1,0
aid,0,1,0
aiding,0,1,0
ail,1,0,0
ailing,1,0,0
ailment,0,0,1
aim,0,0,1
aimless,1,0,0
air,0,0,1
airbag,0,0,1
airlift,0,0,1
airline,0,0,1
airman,0,0,1
airplane,0,0,1
airport,0,0,1
airs,1,0,0
airship,0,0,1
aisle,0,0,1
ait,0,0,1
ajar,0,0,1
akin,0,0,1
alabaster,0,1,0
alarm,1,0,0
alarming,1,0,0
alb,0,0,1
album,0,0,1
alchemy,0,0,1
alcohol,0,0,1
alcoholism,1,0,0
alcove,0,0,1
alert,0,0,1
alertness,0,1,0
alerts,0,0,1
alfalfa,0,0,1
algebra,0,0,1
algebraic,0,0,1
algorithm,0,0,1
alibi,0,0,1
alien,1,0,0
alienate,1,0,0
alienated,1,0,0
alienation,1,0,0
alight,0,0,1
aligned,0,0,1
alignment,0,0,1
alike,0,0,1
alimentation,0,1,0
alimony,1,0,0
aliquot,0,0,1
alive,0,1,0
alkali,0,0,1
alkaloids,0,0,1
allay,0,1,0
allegation,1,0,0
allege,1,0,0
alleged,0,0,1
allegiance,0,1,0
allegorical,0,0,1
allegory,0,0,1
allegro,0,1,0
alleviate,0,1,0
alleviation,0,1,0
alley,0,0,1
alliance,0,0,1
allied,0,1,0
alligator,0,0,1
allocate,0,0,1
allocation,0,0,1
allot,0,0,1
allotment,0,0,1
allowable,0,1,0
allowance,0,0,1
allowed,0,0,1
alloy,0,0,1
allure,0,1,0
alluring,0,1,0
allusion,0,0,1
alluvial,0,0,1
ally,0,1,0
almanac,0,0,1
almighty,0,1,0
aloft,0,0,1
aloha,0,1,0
alongside,0,0,1
aloof,1,0,0
aloud,0,0,1
alphabet,0,0,1
alphabetical,0,0,1
altar,0,0,1
alter,0,0,1
alteration,0,0,1
altercation,1,0,0
altered,0,0,1
alternate,0,0,1
alternative,0,0,1
altitude,0,0,1
alto,0,0,1
altogether,0,0,1
alumnus,0,0,1
alveolar,0,0,1
amalgam,0,0,1
amalgamation,0,0,1
amass,0,0,1
amateur,0,0,1
amaze,0,0,1
amazement,0,0,1
amazingly,0,1,0
ambassador,0,1,0
